Industry,Equipment,Component Part,Lube Spec,Lube Requirements,Standard,Premium,Supreme
Quarrying,['Quarrying'],Engine,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
Quarrying,['Quarrying'],Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Quarrying,['Quarrying'],Transmission,"SAE 30
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 30W **,-,-
Quarrying,['Quarrying'],Hydraulics / Steering,"SAE 10W
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 10W **,-,-
Quarrying,['Quarrying'],Final Drive,"SAE 50
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 50W **,-,-
Quarrying,['Quarrying'],Grease points,NLGI 2 EP,"With solid lubricants
Water tolerance
High load capability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Quarrying,['Quarrying'],Engine,Engine Oil 15W40 / 10W40,"Cold starting
Long idling periods
Soot handling",PETRONAS Urania LD 7 **,PETRONAS Urania 5000 E 15W40 **,PETRONAS Urania 7000 E 10W40 **
Quarrying,['Quarrying'],Cooling System,Coolant Fluid,"Long periods of work
High temperature",PETRONAS Paraflu 11 **,PETRONAS Paraflu Up Ready **,-
Quarrying,['Quarrying'],Transmission,"SAE 50
TO-4 series","Long drain intervals
High temperature handling
High load capability",PETRONAS Powertrans T4 50W **,-,-
Quarrying,['Quarrying'],Compressor,"DIN 51506
VDL","Oxidation stability
Reduced deposits
Long drain intervals",PETRONAS Compressor A M2,PETRONAS Compressor A M4,PETRONAS Compressor A Syn
Quarrying,['Quarrying'],Thread compound,NLGI 1,"Solid lubricants
Water tolerance
High and low temperature capability
Chemical corrosion resistance",PETRONAS Grease Li AS,-,
Quarrying,['Quarrying'],Vertical bearing,NLGI 2 EP,"Extreme high load
Water tolerance
High and low temperature capability",-,PETRONAS Grease CaSX,PETRONAS Grease LiX Syn 2/220
Quarrying,['Quarrying'],Slewing ring,NLGI 2 EP,"Extreme high load capability
Water tolerance
Solid lubricants",-,-,PETRONAS Grease MG HL
Quarrying,['Quarrying'],Hydraulics,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Quarrying,['Quarrying'],Pneumatic drill head,"ISO VG 100 or 150
DIN 51524 Part III","Water separability
Anti-wear
Rust and corrosion protection",PETRONAS ATO,-,-
Crushing,['Crushing'],Plain Bearings / Roller bearings,NLGI 2 EP,"High load capability
Water tolerance
Long life",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Crushing,['Crushing'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Crushing,['Crushing'],Gearbox / Reducer,AGMA  4-7 EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP*,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Hydraulics,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Crushing,['Crushing'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Crushing,['Crushing'],Plain Bearings,AGMA 4EP,"High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP*,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Spider bush bearing (Grease),NLGI 2,"High load capability
High and low temperature handling
Mechanical stability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Crushing,['Crushing'],Spider bush bearing (Oil),AGMA 4-7EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP*,PETRONAS Gear FL series,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Gearbox / Reducer,AGMA 4EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP*,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Hydraulics,"Premium VI
High VI","Water separability
Wet and Dry Filterability
Multi metal compatibility
Rust and corrosion protection",PETRONAS Hydraulic,PETRONAS Hydraulic HV,PETRONAS Hydraulic ESF
Crushing,['Crushing'],Electric Motor Bearings,NLGI 2,"Long life at high temperature
Low bleed
Medium and high speed",PETRONAS Grease Li 2,PETRONAS Grease PU,-
Crushing,['Crushing'],Plain Bearings,AGMA 4EP,"High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Spider bush bearing (Grease),NLGI 2,"High load capability
High and low temperature handling
Mechanical stability",PETRONAS Grease LiX MEP,PETRONAS Grease LiCa MG HL,PETRONAS Grease LiCa MG XHL
Crushing,['Crushing'],Spider bush bearing (Oil),AGMA 4-7EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP,PETRONAS Gear FL,PETRONAS Gear Syn PAO
Crushing,['Crushing'],Gearbox / Reducer,AGMA 4EP,"Micropitting resistance
High load capability
Low foaming tendencies
Water separability",PETRONAS Gear MEP,PETRONAS Gear FL,PETRONAS Gear Syn PAO
